Time Stamp, Pressure [Pa], SystemState, Alarm State 
Thu 2020-05-07 01:59:56.750 CEST,9133690,7,0
Thu 2020-05-07 01:59:57.0 CEST,9133217,7,0
Thu 2020-05-07 01:59:57.250 CEST,9133434,7,0
Thu 2020-05-07 01:59:57.500 CEST,9133604,7,0
Thu 2020-05-07 01:59:57.750 CEST,9133570,7,0
Thu 2020-05-07 01:59:58.0 CEST,9133084,7,0
Thu 2020-05-07 01:59:58.250 CEST,9132076,7,0
Thu 2020-05-07 01:59:58.500 CEST,9132989,7,0
Thu 2020-05-07 01:59:58.750 CEST,9133093,7,0
Thu 2020-05-07 01:59:59.0 CEST,9133592,7,0
Thu 2020-05-07 01:59:59.250 CEST,9133456,7,0
Thu 2020-05-07 01:59:59.500 CEST,9132365,7,0
Thu 2020-05-07 01:59:59.750 CEST,9131619,7,0
Thu 2020-05-07 02:00:00.0 CEST,9132452,7,0
Thu 2020-05-07 02:00:00.250 CEST,9133425,7,0
Thu 2020-05-07 02:00:00.500 CEST,9133323,7,0
Thu 2020-05-07 02:00:00.750 CEST,9133464,7,0
Thu 2020-05-07 02:00:01.0 CEST,9132399,7,0
Thu 2020-05-07 02:00:01.250 CEST,9131822,7,0
Thu 2020-05-07 02:00:01.500 CEST,9131004,7,0
Thu 2020-05-07 02:00:01.750 CEST,9131237,7,0
Thu 2020-05-07 02:00:02.0 CEST,9132397,7,0
Thu 2020-05-07 02:00:02.250 CEST,9132272,7,0
Thu 2020-05-07 02:00:02.500 CEST,9131809,7,0
Thu 2020-05-07 02:00:02.750 CEST,9131361,7,0
Thu 2020-05-07 02:00:03.0 CEST,9131694,7,0
Thu 2020-05-07 02:00:03.250 CEST,9130506,7,0
Thu 2020-05-07 02:00:03.500 CEST,9129668,7,0
Thu 2020-05-07 02:00:03.750 CEST,9128927,7,0
Thu 2020-05-07 02:00:04.0 CEST,9129337,7,0
Thu 2020-05-07 02:00:04.250 CEST,9128494,7,0
Thu 2020-05-07 02:00:04.500 CEST,9127778,7,0
Thu 2020-05-07 02:00:04.750 CEST,9128479,7,0
Thu 2020-05-07 02:00:05.0 CEST,9129053,7,0
Thu 2020-05-07 02:00:05.250 CEST,9129271,7,0
Thu 2020-05-07 02:00:05.500 CEST,9128737,7,0
Thu 2020-05-07 02:00:05.750 CEST,9129590,7,0
Thu 2020-05-07 02:00:06.0 CEST,9130000,7,0
Thu 2020-05-07 02:00:06.250 CEST,9131143,7,0
Thu 2020-05-07 02:00:06.500 CEST,9130463,7,0
Thu 2020-05-07 02:00:06.750 CEST,9130171,7,0
Thu 2020-05-07 02:00:07.0 CEST,9129542,7,0
Thu 2020-05-07 02:00:07.250 CEST,9128971,7,0
Thu 2020-05-07 02:00:07.500 CEST,9128698,7,0
Thu 2020-05-07 02:00:07.750 CEST,9127701,7,0
Thu 2020-05-07 02:00:08.0 CEST,9126902,7,0
Thu 2020-05-07 02:00:08.250 CEST,9127291,7,0
Thu 2020-05-07 02:00:08.500 CEST,9127199,7,0
Thu 2020-05-07 02:00:08.750 CEST,9126100,7,0
Thu 2020-05-07 02:00:09.0 CEST,9126677,7,0
Thu 2020-05-07 02:00:09.250 CEST,9126967,7,0
Thu 2020-05-07 02:00:09.500 CEST,9126865,7,0
Thu 2020-05-07 02:00:09.750 CEST,9126965,7,0
Thu 2020-05-07 02:00:10.0 CEST,9125929,7,0
Thu 2020-05-07 02:00:10.250 CEST,9126564,7,0
Thu 2020-05-07 02:00:10.500 CEST,9127416,7,0
Thu 2020-05-07 02:00:10.750 CEST,9127477,7,0
Thu 2020-05-07 02:00:11.0 CEST,9128125,7,0
Thu 2020-05-07 02:00:11.250 CEST,9128904,7,0
Thu 2020-05-07 02:00:11.500 CEST,9128988,7,0
Thu 2020-05-07 02:00:11.750 CEST,9128409,7,0
Thu 2020-05-07 02:00:12.0 CEST,9129109,7,0
Thu 2020-05-07 02:00:12.250 CEST,9129241,7,0
Thu 2020-05-07 02:00:12.500 CEST,9128162,7,0
Thu 2020-05-07 02:00:12.750 CEST,9127799,7,0
Thu 2020-05-07 02:00:13.0 CEST,9126949,7,0
Thu 2020-05-07 02:00:13.250 CEST,9126537,7,0
Thu 2020-05-07 02:00:13.500 CEST,9125826,7,0
Thu 2020-05-07 02:00:13.750 CEST,9126150,7,0
Thu 2020-05-07 02:00:14.0 CEST,9125244,7,0
Thu 2020-05-07 02:00:14.250 CEST,9124617,7,0
Thu 2020-05-07 02:00:14.500 CEST,9125414,7,0
Thu 2020-05-07 02:00:14.750 CEST,9125079,7,0
Thu 2020-05-07 02:00:15.0 CEST,9124646,7,0
Thu 2020-05-07 02:00:15.250 CEST,9123969,7,0
Thu 2020-05-07 02:00:15.500 CEST,9123402,7,0
Thu 2020-05-07 02:00:15.750 CEST,9123370,7,0
Thu 2020-05-07 02:00:16.0 CEST,9123846,7,0
Thu 2020-05-07 02:00:16.250 CEST,9124387,7,0
Thu 2020-05-07 02:00:16.500 CEST,9124020,7,0
Thu 2020-05-07 02:00:16.750 CEST,9123872,7,0
Thu 2020-05-07 02:00:17.0 CEST,9123503,7,0
Thu 2020-05-07 02:00:17.250 CEST,9123799,7,0
Thu 2020-05-07 02:00:17.500 CEST,9124951,7,0
Thu 2020-05-07 02:00:17.750 CEST,9124310,7,0
Thu 2020-05-07 02:00:18.0 CEST,9124040,7,0
